code,group_prefix,location
1-1,1,1-1
7-1,7,7-1
8-1,8,8-1
12-1,12,12-1
57-1,57,57-1
51-1,51,51-1
53-1,53,53-1
56-1,56,56-1
60-1,60,60-1
금어-1,금어,금어-1
GH-1,GH,GH-1
GL-1,GL,GL-1
G-1,G,G-1
BH-1,BH,BH-1
Ts-1,Ts,Ts-1
백-1,백,백-1
오-1,오,오-1
러-1,러,러-1
소3-1,소3,소3-1
소1-1,소1,소1-1
종-1,종,종-1
연-1,연,연-1
PP-1,PP,PP-1
복-1,복,복-1
생-1,생,생-1
Bh-1,Bh,Bh-1
BJ-1,BJ,BJ-1
Be-1,Be,Be-1
JJs-1,JJs,JJs-1
JJ-1,JJ,JJ-1
TD-1,TD,TD-1
프-1,프,프-1
변-1,변,변-1
TU-1,TU,TU-1
PS-1,PS,PS-1
Bd-1,Bd,Bd-1
부-1,부,부-1
아-1,아,아-1
보-1,보,보-1
기-1,기,기-1
어-1,어,어-1
어정-1,어정,어정-1
무-1,무,무-1
제-1,제,제-1
Jh-1,Jh,Jh-1
H-1,H,H-1
R-1,R,R-1
8정-1,8정,8정-1
임1-1,임1,임1-1
I-1,I,I-1
1-2,1,1-2
7-2,7,7-2
8-2,8,8-2
12-2,12,12-2
57-2,57,57-2
51-2,51,51-2
53-2,53,53-2
56-2,56,56-2
60-2,60,60-2
금어-2,금어,금어-2
GH-2,GH,GH-2
GL-2,GL,GL-2
G-2,G,G-2
BH-2,BH,BH-2
Ts-2,Ts,Ts-2
백-2,백,백-2
오-2,오,오-2
러-2,러,러-2
소3-2,소3,소3-2
소1-2,소1,소1-2
종-2,종,종-2
연-2,연,연-2
PP-2,PP,PP-2
복-2,복,복-2
생-2,생,생-2
Bh-2,Bh,Bh-2
BJ-2,BJ,BJ-2
Be-2,Be,Be-2
JJs-2,JJs,JJs-2
JJ-2,JJ,JJ-2
TD-2,TD,TD-2
프-2,프,프-2
변-2,변,변-2
TU-2,TU,TU-2
PS-2,PS,PS-2
Bd-2,Bd,Bd-2
부-2,부,부-2
아-2,아,아-2
보-2,보,보-2
기-2,기,기-2
어-2,어,어-2
어정-2,어정,어정-2
무-2,무,무-2
제-2,제,제-2
Jh-2,Jh,Jh-2
H-2,H,H-2
R-2,R,R-2
8정-2,8정,8정-2
임1-2,임1,임1-2
I-2,I,I-2
1-3,1,1-3
7-3,7,7-3
8-3,8,8-3
12-3,12,12-3
57-3,57,57-3
51-3,51,51-3
53-3,53,53-3
56-3,56,56-3
60-3,60,60-3
금어-3,금어,금어-3
GH-3,GH,GH-3
GL-3,GL,GL-3
G-3,G,G-3
BH-3,BH,BH-3
Ts-3,Ts,Ts-3
백-3,백,백-3
오-3,오,오-3
러-3,러,러-3
소3-3,소3,소3-3
소1-3,소1,소1-3
종-3,종,종-3
연-3,연,연-3
PP-3,PP,PP-3
복-3,복,복-3
생-3,생,생-3
Bh-3,Bh,Bh-3
BJ-3,BJ,BJ-3
Be-3,Be,Be-3
JJs-3,JJs,JJs-3
JJ-3,JJ,JJ-3
TD-3,TD,TD-3
프-3,프,프-3
TU-3,TU,TU-3
PS-3,PS,PS-3
Bd-3,Bd,Bd-3
부-3,부,부-3
아-3,아,아-3
보-3,보,보-3
기-3,기,기-3
어-3,어,어-3
어정-3,어정,어정-3
무-3,무,무-3
제-3,제,제-3
Jh-3,Jh,Jh-3
H-3,H,H-3
R-3,R,R-3
8정-3,8정,8정-3
임1-3,임1,임1-3
I-3,I,I-3
1-4,1,1-4
7-4,7,7-4
8-4,8,8-4
12-4,12,12-4
57-4,57,57-4
51-4,51,51-4
53-4,53,53-4
56-4,56,56-4
60-4,60,60-4
금어-4,금어,금어-4
GH-4,GH,GH-4
GL-4,GL,GL-4
G-4,G,G-4
BH-4,BH,BH-4
Ts-4,Ts,Ts-4
백-4,백,백-4
오-4,오,오-4
러-4,러,러-4
소3-4,소3,소3-4
소1-4,소1,소1-4
종-4,종,종-4
연-4,연,연-4
PP-4,PP,PP-4
복-4,복,복-4
생-4,생,생-4
Bh-4,Bh,Bh-4
BJ-4,BJ,BJ-4
Be-4,Be,Be-4
JJs-4,JJs,JJs-4
JJ-4,JJ,JJ-4
TD-4,TD,TD-4
프-4,프,프-4
TU-4,TU,TU-4
PS-4,PS,PS-4
Bd-4,Bd,Bd-4
부-4,부,부-4
아-4,아,아-4
보-4,보,보-4
기-4,기,기-4
어-4,어,어-4
어정-4,어정,어정-4
무-4,무,무-4
제-4,제,제-4
Jh-4,Jh,Jh-4
H-4,H,H-4
R-4,R,R-4
8정-4,8정,8정-4
임1-4,임1,임1-4
I-4,I,I-4
1-5,1,1-5
7-5,7,7-5
8-5,8,8-5
12-5,12,12-5
57-5,57,57-5
51-5,51,51-5
53-5,53,53-5
56-5,56,56-5
60-5,60,60-5
금어-5,금어,금어-5
GH-5,GH,GH-5
GL-5,GL,GL-5
G-5,G,G-5
BH-5,BH,BH-5
Ts-5,Ts,Ts-5
백-5,백,백-5
오-5,오,오-5
러-5,러,러-5
소3-5,소3,소3-5
소1-5,소1,소1-5
종-5,종,종-5
연-5,연,연-5
PP-5,PP,PP-5
복-5,복,복-5
생-5,생,생-5
BJ-5,BJ,BJ-5
JJs-5,JJs,JJs-5
JJ-5,JJ,JJ-5
TD-5,TD,TD-5
프-5,프,프-5
TU-5,TU,TU-5
PS-5,PS,PS-5
Bd-5,Bd,Bd-5
부-5,부,부-5
아-5,아,아-5
보-5,보,보-5
기-5,기,기-5
어-5,어,어-5
어정-5,어정,어정-5
무-5,무,무-5
제-5,제,제-5
Jh-5,Jh,Jh-5
H-5,H,H-5
R-5,R,R-5
8정-5,8정,8정-5
임1-5,임1,임1-5
I-5,I,I-5
1-6,1,1-6
7-6,7,7-6
8-6,8,8-6
12-6,12,12-6
57-6,57,57-6
51-6,51,51-6
53-6,53,53-6
56-6,56,56-6
60-6,60,60-6
금어-6,금어,금어-6
GH-6,GH,GH-6
GL-6,GL,GL-6
G-6,G,G-6
BH-6,BH,BH-6
Ts-6,Ts,Ts-6
백-6,백,백-6
오-6,오,오-6
러-6,러,러-6
소3-6,소3,소3-6
소1-6,소1,소1-6
종-6,종,종-6
연-6,연,연-6
PP-6,PP,PP-6
복-6,복,복-6
생-6,생,생-6
BJ-6,BJ,BJ-6
JJs-6,JJs,JJs-6
JJ-6,JJ,JJ-6
TD-6,TD,TD-6
프-6,프,프-6
TU-6,TU,TU-6
PS-6,PS,PS-6
Bd-6,Bd,Bd-6
아-6,아,아-6
보-6,보,보-6
기-6,기,기-6
어-6,어,어-6
어정-6,어정,어정-6
무-6,무,무-6
제-6,제,제-6
